value,date
0,00:00 1-September-2013
0,01:00 1-September-2013
0,02:00 1-September-2013
0,03:00 1-September-2013
0,04:00 1-September-2013
0,05:00 1-September-2013
0,06:00 1-September-2013
0,07:00 1-September-2013
0,08:00 1-September-2013
0,09:00 1-September-2013
0,10:00 1-September-2013
0,11:00 1-September-2013
0,12:00 1-September-2013
0,13:00 1-September-2013
0,14:00 1-September-2013
0,15:00 1-September-2013
0,16:00 1-September-2013
0,17:00 1-September-2013
0,18:00 1-September-2013
0,19:00 1-September-2013
0,20:00 1-September-2013
0,21:00 1-September-2013
0,22:00 1-September-2013
0,23:00 1-September-2013
0,00:00 2-September-2013
0,01:00 2-September-2013
0,02:00 2-September-2013
0,03:00 2-September-2013
0,04:00 2-September-2013
0,05:00 2-September-2013
0,06:00 2-September-2013
0,07:00 2-September-2013
0,08:00 2-September-2013
0,09:00 2-September-2013
0,10:00 2-September-2013
0,11:00 2-September-2013
0,12:00 2-September-2013
0,13:00 2-September-2013
3,14:00 2-September-2013
0,15:00 2-September-2013
0,16:00 2-September-2013
0,17:00 2-September-2013
0,18:00 2-September-2013
0,19:00 2-September-2013
0,20:00 2-September-2013
0,21:00 2-September-2013
0,22:00 2-September-2013
0,23:00 2-September-2013
0,00:00 3-September-2013
0,01:00 3-September-2013
0,02:00 3-September-2013
0,03:00 3-September-2013
0,04:00 3-September-2013
0,05:00 3-September-2013
0,06:00 3-September-2013
0,07:00 3-September-2013
0,08:00 3-September-2013
0,09:00 3-September-2013
0,10:00 3-September-2013
0,11:00 3-September-2013
0,12:00 3-September-2013
0,13:00 3-September-2013
0,14:00 3-September-2013
0,15:00 3-September-2013
0,16:00 3-September-2013
0,17:00 3-September-2013
0,18:00 3-September-2013
0,19:00 3-September-2013
0,20:00 3-September-2013
0,21:00 3-September-2013
0,22:00 3-September-2013
0,23:00 3-September-2013
0,00:00 4-September-2013
0,01:00 4-September-2013
0,02:00 4-September-2013
0,03:00 4-September-2013
0,04:00 4-September-2013
0,05:00 4-September-2013
0,06:00 4-September-2013
0,07:00 4-September-2013
0,08:00 4-September-2013
0,09:00 4-September-2013
0,10:00 4-September-2013
0,11:00 4-September-2013
0,12:00 4-September-2013
0,13:00 4-September-2013
0,14:00 4-September-2013
0,15:00 4-September-2013
0,16:00 4-September-2013
0,17:00 4-September-2013
0,18:00 4-September-2013
0,19:00 4-September-2013
0,20:00 4-September-2013
0,21:00 4-September-2013
0,22:00 4-September-2013
0,23:00 4-September-2013
0,00:00 5-September-2013
0,01:00 5-September-2013
0,02:00 5-September-2013
0,03:00 5-September-2013
0,04:00 5-September-2013
0,05:00 5-September-2013
0,06:00 5-September-2013
0,07:00 5-September-2013
0,08:00 5-September-2013
0,09:00 5-September-2013
0,10:00 5-September-2013
0,11:00 5-September-2013
0,12:00 5-September-2013
0,13:00 5-September-2013
0,14:00 5-September-2013
0,15:00 5-September-2013
0,16:00 5-September-2013
0,17:00 5-September-2013
0,18:00 5-September-2013
0,19:00 5-September-2013
0,20:00 5-September-2013
0,21:00 5-September-2013
0,22:00 5-September-2013
0,23:00 5-September-2013
0,00:00 6-September-2013
0,01:00 6-September-2013
0,02:00 6-September-2013
0,03:00 6-September-2013
0,04:00 6-September-2013
0,05:00 6-September-2013
0,06:00 6-September-2013
0,07:00 6-September-2013
0,08:00 6-September-2013
0,09:00 6-September-2013
0,10:00 6-September-2013
0,11:00 6-September-2013
0,12:00 6-September-2013
0,13:00 6-September-2013
0,14:00 6-September-2013
0,15:00 6-September-2013
0,16:00 6-September-2013
0,17:00 6-September-2013
0,18:00 6-September-2013
0,19:00 6-September-2013
0,20:00 6-September-2013
0,21:00 6-September-2013
0,22:00 6-September-2013
0,23:00 6-September-2013
0,00:00 7-September-2013
0,01:00 7-September-2013
0,02:00 7-September-2013
0,03:00 7-September-2013
0,04:00 7-September-2013
0,05:00 7-September-2013
0,06:00 7-September-2013
0,07:00 7-September-2013
0,08:00 7-September-2013
0,09:00 7-September-2013
0,10:00 7-September-2013
0,11:00 7-September-2013
0,12:00 7-September-2013
0,13:00 7-September-2013
0,14:00 7-September-2013
0,15:00 7-September-2013
0,16:00 7-September-2013
0,17:00 7-September-2013
0,18:00 7-September-2013
0,19:00 7-September-2013
0,20:00 7-September-2013
0,21:00 7-September-2013
0,22:00 7-September-2013
0,23:00 7-September-2013
0,00:00 8-September-2013
0,01:00 8-September-2013
0,02:00 8-September-2013
0,03:00 8-September-2013
0,04:00 8-September-2013
0,05:00 8-September-2013
0,06:00 8-September-2013
0,07:00 8-September-2013
0,08:00 8-September-2013
0,09:00 8-September-2013
0,10:00 8-September-2013
0,11:00 8-September-2013
0,12:00 8-September-2013
0,13:00 8-September-2013
0,14:00 8-September-2013
0,15:00 8-September-2013
0,16:00 8-September-2013
0,17:00 8-September-2013
0,18:00 8-September-2013
0,19:00 8-September-2013
0,20:00 8-September-2013
0,21:00 8-September-2013
0,22:00 8-September-2013
0,23:00 8-September-2013
0,00:00 9-September-2013
2,01:00 9-September-2013
0,02:00 9-September-2013
0,03:00 9-September-2013
0,04:00 9-September-2013
0,05:00 9-September-2013
0,06:00 9-September-2013
0,07:00 9-September-2013
0,08:00 9-September-2013
0,09:00 9-September-2013
0,10:00 9-September-2013
0,11:00 9-September-2013
0,12:00 9-September-2013
0,13:00 9-September-2013
0,14:00 9-September-2013
0,15:00 9-September-2013
0,16:00 9-September-2013
0,17:00 9-September-2013
0,18:00 9-September-2013
0,19:00 9-September-2013
0,20:00 9-September-2013
0,21:00 9-September-2013
0,22:00 9-September-2013
0,23:00 9-September-2013
0,00:00 10-September-2013
0,01:00 10-September-2013
0,02:00 10-September-2013
0,03:00 10-September-2013
0,04:00 10-September-2013
0,05:00 10-September-2013
0,06:00 10-September-2013
0,07:00 10-September-2013
0,08:00 10-September-2013
0,09:00 10-September-2013
0,10:00 10-September-2013
0,11:00 10-September-2013
0,12:00 10-September-2013
0,13:00 10-September-2013
0,14:00 10-September-2013
0,15:00 10-September-2013
1,16:00 10-September-2013
2,17:00 10-September-2013
0,18:00 10-September-2013
0,19:00 10-September-2013
0,20:00 10-September-2013
0,21:00 10-September-2013
0,22:00 10-September-2013
0,23:00 10-September-2013
0,00:00 11-September-2013
0,01:00 11-September-2013
0,02:00 11-September-2013
0,03:00 11-September-2013
0,04:00 11-September-2013
0,05:00 11-September-2013
0,06:00 11-September-2013
0,07:00 11-September-2013
0,08:00 11-September-2013
0,09:00 11-September-2013
0,10:00 11-September-2013
0,11:00 11-September-2013
5,12:00 11-September-2013
6,13:00 11-September-2013
6,14:00 11-September-2013
0,15:00 11-September-2013
0,16:00 11-September-2013
0,17:00 11-September-2013
1,18:00 11-September-2013
2,19:00 11-September-2013
0,20:00 11-September-2013
0,21:00 11-September-2013
0,22:00 11-September-2013
0,23:00 11-September-2013
1,00:00 12-September-2013
0,01:00 12-September-2013
0,02:00 12-September-2013
0,03:00 12-September-2013
5,04:00 12-September-2013
4,05:00 12-September-2013
6,06:00 12-September-2013
2,07:00 12-September-2013
2,08:00 12-September-2013
0,09:00 12-September-2013
6,10:00 12-September-2013
0,11:00 12-September-2013
5,12:00 12-September-2013
0,13:00 12-September-2013
4,14:00 12-September-2013
0,15:00 12-September-2013
0,16:00 12-September-2013
0,17:00 12-September-2013
2,18:00 12-September-2013
6,19:00 12-September-2013
2,20:00 12-September-2013
0,21:00 12-September-2013
0,22:00 12-September-2013
0,23:00 12-September-2013
0,00:00 13-September-2013
0,01:00 13-September-2013
0,02:00 13-September-2013
0,03:00 13-September-2013
0,04:00 13-September-2013
0,05:00 13-September-2013
0,06:00 13-September-2013
0,07:00 13-September-2013
0,08:00 13-September-2013
0,09:00 13-September-2013
2,10:00 13-September-2013
0,11:00 13-September-2013
0,12:00 13-September-2013
0,13:00 13-September-2013
0,14:00 13-September-2013
0,15:00 13-September-2013
0,16:00 13-September-2013
0,17:00 13-September-2013
0,18:00 13-September-2013
0,19:00 13-September-2013
6,20:00 13-September-2013
8,21:00 13-September-2013
8,22:00 13-September-2013
0,23:00 13-September-2013
0,00:00 14-September-2013
4,01:00 14-September-2013
0,02:00 14-September-2013
0,03:00 14-September-2013
0,04:00 14-September-2013
0,05:00 14-September-2013
0,06:00 14-September-2013
0,07:00 14-September-2013
10,08:00 14-September-2013
2,09:00 14-September-2013
4,10:00 14-September-2013
0,11:00 14-September-2013
0,12:00 14-September-2013
0,13:00 14-September-2013
0,14:00 14-September-2013
0,15:00 14-September-2013
0,16:00 14-September-2013
0,17:00 14-September-2013
0,18:00 14-September-2013
0,19:00 14-September-2013
0,20:00 14-September-2013
0,21:00 14-September-2013
0,22:00 14-September-2013
6,23:00 14-September-2013
0,00:00 15-September-2013
0,01:00 15-September-2013
0,02:00 15-September-2013
0,03:00 15-September-2013
0,04:00 15-September-2013
0,05:00 15-September-2013
0,06:00 15-September-2013
0,07:00 15-September-2013
0,08:00 15-September-2013
0,09:00 15-September-2013
0,10:00 15-September-2013
0,11:00 15-September-2013
0,12:00 15-September-2013
0,13:00 15-September-2013
0,14:00 15-September-2013
0,15:00 15-September-2013
0,16:00 15-September-2013
0,17:00 15-September-2013
0,18:00 15-September-2013
0,19:00 15-September-2013
0,20:00 15-September-2013
0,21:00 15-September-2013
0,22:00 15-September-2013
0,23:00 15-September-2013
2,00:00 16-September-2013
2,01:00 16-September-2013
2,02:00 16-September-2013
0,03:00 16-September-2013
0,04:00 16-September-2013
3,05:00 16-September-2013
0,06:00 16-September-2013
0,07:00 16-September-2013
5,08:00 16-September-2013
0,09:00 16-September-2013
0,10:00 16-September-2013
0,11:00 16-September-2013
0,12:00 16-September-2013
0,13:00 16-September-2013
0,14:00 16-September-2013
0,15:00 16-September-2013
0,16:00 16-September-2013
0,17:00 16-September-2013
0,18:00 16-September-2013
0,19:00 16-September-2013
2,20:00 16-September-2013
0,21:00 16-September-2013
0,22:00 16-September-2013
1,23:00 16-September-2013
0,00:00 17-September-2013
0,01:00 17-September-2013
0,02:00 17-September-2013
0,03:00 17-September-2013
0,04:00 17-September-2013
0,05:00 17-September-2013
0,06:00 17-September-2013
4,07:00 17-September-2013
10,08:00 17-September-2013
8,09:00 17-September-2013
4,10:00 17-September-2013
3,11:00 17-September-2013
4,12:00 17-September-2013
2,13:00 17-September-2013
9,14:00 17-September-2013
0,15:00 17-September-2013
0,16:00 17-September-2013
2,17:00 17-September-2013
6,18:00 17-September-2013
0,19:00 17-September-2013
0,20:00 17-September-2013
2,21:00 17-September-2013
0,22:00 17-September-2013
0,23:00 17-September-2013
0,00:00 18-September-2013
0,01:00 18-September-2013
0,02:00 18-September-2013
2,03:00 18-September-2013
2,04:00 18-September-2013
7,05:00 18-September-2013
15,06:00 18-September-2013
2,07:00 18-September-2013
1,08:00 18-September-2013
11,09:00 18-September-2013
1,10:00 18-September-2013
0,11:00 18-September-2013
4,12:00 18-September-2013
4,13:00 18-September-2013
3,14:00 18-September-2013
0,15:00 18-September-2013
0,16:00 18-September-2013
0,17:00 18-September-2013
0,18:00 18-September-2013
0,19:00 18-September-2013
1,20:00 18-September-2013
4,21:00 18-September-2013
2,22:00 18-September-2013
0,23:00 18-September-2013
5,00:00 19-September-2013
0,01:00 19-September-2013
2,02:00 19-September-2013
0,03:00 19-September-2013
0,04:00 19-September-2013
2,05:00 19-September-2013
31,06:00 19-September-2013
14,07:00 19-September-2013
18,08:00 19-September-2013
10,09:00 19-September-2013
12,10:00 19-September-2013
24,11:00 19-September-2013
6,12:00 19-September-2013
29,13:00 19-September-2013
6,14:00 19-September-2013
8,15:00 19-September-2013
5,16:00 19-September-2013
2,17:00 19-September-2013
4,18:00 19-September-2013
2,19:00 19-September-2013
10,20:00 19-September-2013
2,21:00 19-September-2013
0,22:00 19-September-2013
2,23:00 19-September-2013
2,00:00 20-September-2013
2,01:00 20-September-2013
2,02:00 20-September-2013
2,03:00 20-September-2013
6,04:00 20-September-2013
3,05:00 20-September-2013
12,06:00 20-September-2013
4,07:00 20-September-2013
9,08:00 20-September-2013
3,09:00 20-September-2013
13,10:00 20-September-2013
16,11:00 20-September-2013
20,12:00 20-September-2013
12,13:00 20-September-2013
26,14:00 20-September-2013
3,15:00 20-September-2013
4,16:00 20-September-2013
4,17:00 20-September-2013
2,18:00 20-September-2013
10,19:00 20-September-2013
0,20:00 20-September-2013
1,21:00 20-September-2013
6,22:00 20-September-2013
8,23:00 20-September-2013
0,00:00 21-September-2013
4,01:00 21-September-2013
0,02:00 21-September-2013
2,03:00 21-September-2013
2,04:00 21-September-2013
2,05:00 21-September-2013
16,06:00 21-September-2013
18,07:00 21-September-2013
22,08:00 21-September-2013
13,09:00 21-September-2013
15,10:00 21-September-2013
28,11:00 21-September-2013
14,12:00 21-September-2013
12,13:00 21-September-2013
30,14:00 21-September-2013
16,15:00 21-September-2013
37,16:00 21-September-2013
22,17:00 21-September-2013
18,18:00 21-September-2013
10,19:00 21-September-2013
16,20:00 21-September-2013
12,21:00 21-September-2013
16,22:00 21-September-2013
0,23:00 21-September-2013
2,00:00 22-September-2013
8,01:00 22-September-2013
4,02:00 22-September-2013
14,03:00 22-September-2013
0,04:00 22-September-2013
6,05:00 22-September-2013
18,06:00 22-September-2013
30,07:00 22-September-2013
19,08:00 22-September-2013
38,09:00 22-September-2013
42,10:00 22-September-2013
55,11:00 22-September-2013
28,12:00 22-September-2013
34,13:00 22-September-2013
22,14:00 22-September-2013
16,15:00 22-September-2013
28,16:00 22-September-2013
24,17:00 22-September-2013
10,18:00 22-September-2013
34,19:00 22-September-2013
15,20:00 22-September-2013
24,21:00 22-September-2013
16,22:00 22-September-2013
16,23:00 22-September-2013
6,00:00 23-September-2013
4,01:00 23-September-2013
3,02:00 23-September-2013
4,03:00 23-September-2013
2,04:00 23-September-2013
9,05:00 23-September-2013
12,06:00 23-September-2013
52,07:00 23-September-2013
108,08:00 23-September-2013
75,09:00 23-September-2013
99,10:00 23-September-2013
65,11:00 23-September-2013
87,12:00 23-September-2013
71,13:00 23-September-2013
71,14:00 23-September-2013
28,15:00 23-September-2013
29,16:00 23-September-2013
34,17:00 23-September-2013
31,18:00 23-September-2013
22,19:00 23-September-2013
33,20:00 23-September-2013
16,21:00 23-September-2013
9,22:00 23-September-2013
4,23:00 23-September-2013
2,00:00 24-September-2013
4,01:00 24-September-2013
4,02:00 24-September-2013
14,03:00 24-September-2013
6,04:00 24-September-2013
6,05:00 24-September-2013
28,06:00 24-September-2013
37,07:00 24-September-2013
36,08:00 24-September-2013
49,09:00 24-September-2013
55,10:00 24-September-2013
33,11:00 24-September-2013
32,12:00 24-September-2013
18,13:00 24-September-2013
13,14:00 24-September-2013
14,15:00 24-September-2013
4,16:00 24-September-2013
6,17:00 24-September-2013
14,18:00 24-September-2013
3,19:00 24-September-2013
12,20:00 24-September-2013
16,21:00 24-September-2013
10,22:00 24-September-2013
4,23:00 24-September-2013
2,00:00 25-September-2013
0,01:00 25-September-2013
0,02:00 25-September-2013
7,03:00 25-September-2013
25,04:00 25-September-2013
28,05:00 25-September-2013
19,06:00 25-September-2013
30,07:00 25-September-2013
57,08:00 25-September-2013
74,09:00 25-September-2013
80,10:00 25-September-2013
133,11:00 25-September-2013
155,12:00 25-September-2013
73,13:00 25-September-2013
68,14:00 25-September-2013
51,15:00 25-September-2013
78,16:00 25-September-2013
78,17:00 25-September-2013
63,18:00 25-September-2013
62,19:00 25-September-2013
42,20:00 25-September-2013
52,21:00 25-September-2013
24,22:00 25-September-2013
8,23:00 25-September-2013
8,00:00 26-September-2013
10,01:00 26-September-2013
35,02:00 26-September-2013
14,03:00 26-September-2013
34,04:00 26-September-2013
56,05:00 26-September-2013
35,06:00 26-September-2013
80,07:00 26-September-2013
30,08:00 26-September-2013
30,09:00 26-September-2013
58,10:00 26-September-2013
26,11:00 26-September-2013
40,12:00 26-September-2013
30,13:00 26-September-2013
28,14:00 26-September-2013
51,15:00 26-September-2013
38,16:00 26-September-2013
28,17:00 26-September-2013
24,18:00 26-September-2013
16,19:00 26-September-2013
14,20:00 26-September-2013
16,21:00 26-September-2013
9,22:00 26-September-2013
4,23:00 26-September-2013
2,00:00 27-September-2013
0,01:00 27-September-2013
4,02:00 27-September-2013
4,03:00 27-September-2013
3,04:00 27-September-2013
12,05:00 27-September-2013
19,06:00 27-September-2013
24,07:00 27-September-2013
24,08:00 27-September-2013
26,09:00 27-September-2013
42,10:00 27-September-2013
32,11:00 27-September-2013
32,12:00 27-September-2013
23,13:00 27-September-2013
23,14:00 27-September-2013
26,15:00 27-September-2013
20,16:00 27-September-2013
11,17:00 27-September-2013
28,18:00 27-September-2013
27,19:00 27-September-2013
14,20:00 27-September-2013
6,21:00 27-September-2013
0,22:00 27-September-2013
2,23:00 27-September-2013
14,00:00 28-September-2013
4,01:00 28-September-2013
6,02:00 28-September-2013
11,03:00 28-September-2013
10,04:00 28-September-2013
23,05:00 28-September-2013
33,06:00 28-September-2013
45,07:00 28-September-2013
84,08:00 28-September-2013
45,09:00 28-September-2013
40,10:00 28-September-2013
38,11:00 28-September-2013
34,12:00 28-September-2013
36,13:00 28-September-2013
51,14:00 28-September-2013
51,15:00 28-September-2013
69,16:00 28-September-2013
53,17:00 28-September-2013
71,18:00 28-September-2013
115,19:00 28-September-2013
77,20:00 28-September-2013
94,21:00 28-September-2013
66,22:00 28-September-2013
3,23:00 28-September-2013
12,00:00 29-September-2013
32,01:00 29-September-2013
50,02:00 29-September-2013
22,03:00 29-September-2013
54,04:00 29-September-2013
56,05:00 29-September-2013
122,06:00 29-September-2013
135,07:00 29-September-2013
64,08:00 29-September-2013
65,09:00 29-September-2013
42,10:00 29-September-2013
66,11:00 29-September-2013
70,12:00 29-September-2013
67,13:00 29-September-2013
87,14:00 29-September-2013
61,15:00 29-September-2013
68,16:00 29-September-2013
78,17:00 29-September-2013
44,18:00 29-September-2013
28,19:00 29-September-2013
92,20:00 29-September-2013
61,21:00 29-September-2013
24,22:00 29-September-2013
53,23:00 29-September-2013
24,00:00 30-September-2013
7,01:00 30-September-2013
6,02:00 30-September-2013
17,03:00 30-September-2013
36,04:00 30-September-2013
55,05:00 30-September-2013
153,06:00 30-September-2013
158,07:00 30-September-2013
183,08:00 30-September-2013
221,09:00 30-September-2013
123,10:00 30-September-2013
186,11:00 30-September-2013
172,12:00 30-September-2013
233,13:00 30-September-2013
177,14:00 30-September-2013
238,15:00 30-September-2013
206,16:00 30-September-2013
232,17:00 30-September-2013
