jahr,menge
1792,181
1793,216
1794,192
1795,193
1796,235
1797,241
1798,251
1799,272
1800,276
1801,241
1802,251
1803,241
1804,456
1805,469
1806,422
1807,406
1808,406
1809,421
1810,442
1811,418
1812,412
1813,403
1814,398
1815,464
1816,513
1817,521
1818,509
1819,485
1820,511
1821,491
1822,474
1823,472
1824,489
1825,524
1826,546
1827,561
1828,599
1829,626
1830,686
1831,751
1832,811
1833,913
1834,921
1835,941
1836,894
1837,1042
1838,1195
1839,1208
1840,1188
1841,1311
1842,1356
1843,1296
1844,1435
1845,1518
1846,1614
1847,1727
1848,1605
1849,1661
1850,1999
1851,2165
