x,date
0,September 1 2013
1,September 2 2013
0,September 3 2013
0,September 4 2013
0,September 5 2013
0,September 6 2013
0,September 7 2013
0,September 8 2013
0,September 9 2013
1,September 10 2013
2,September 11 2013
3,September 12 2013
2,September 13 2013
0,September 14 2013
0,September 15 2013
3,September 16 2013
6,September 17 2013
11,September 18 2013
16,September 19 2013
14,September 20 2013
11,September 21 2013
3,September 22 2013
26,September 23 2013
16,September 24 2013
33,September 25 2013
21,September 26 2013
35,September 27 2013
68,September 28 2013
46,September 29 2013
241,September 30 2013
786,October 1 2013
386,October 2 2013
283,October 3 2013
197,October 4 2013
141,October 5 2013
129,October 6 2013
167,October 7 2013
187,October 8 2013
173,October 9 2013
148,October 10 2013
116,October 11 2013
51,October 12 2013
66,October 13 2013
94,October 14 2013
105,October 15 2013
128,October 16 2013
151,October 17 2013
62,October 18 2013
30,October 19 2013
39,October 20 2013
24,October 21 2013
20,October 22 2013
23,October 23 2013
7,October 24 2013
7,October 25 2013
7,October 26 2013
4,October 27 2013
7,October 28 2013
3,October 29 2013
0,October 30 2013
0,October 31 2013
